Status,Type,Name,Author,Journal,DOI,Date
조사 전,Publications,File feature analysis for file identification based on histogram,,"Information (Japan), 201503",,
조사 전,Publications,Image Retrieval Method Based on Image Feature Fusion and Discrete Cosine Transform,,"APPLIED SCIENCES-BASEL, 202106",,
조사 전,Publications,MP3 File Identification Based on Concurrence Order of Metadata,,"International Journal of Multimedia and Ubiquitous Engineering, 201409",,
조사 전,Publications,Optimized Identification Method for Digital Music Pieces in BitTorrent,,"International Journal of Multimedia and Ubiquitous Engineering, 201501",,
조사 전,Publications,PSI Analysis of Adversarial-Attacked DCNN Models,,"APPLIED SCIENCES-BASEL, 202309",,
조사 전,Publications,Raw Data Recovery from Pulse Code Modulation Pieces in the BitTorrent Environment,,"International Journal of Multimedia and Ubiquitous Engineering, 201405",,
조사 전,Publications,Retrieval of Non-rigid 3D Models Based on Approximated Topological Structure and Local Volume,,"KSII TRANSACTIONS ON INTERNET AND INFORMATION SYSTEMS, 201708",,
조사 전,Publications,"Robust Digital Watermarking for High-definition Video using Steerable Pyramid Transform, Two Dimensional Fast Fourier Transform and Ensemble Position-based Error Correcting",,"KSII TRANSACTIONS ON INTERNET AND INFORMATION SYSTEMS, 201807",,
조사 전,Publications,Robustness of Deep Learning Models for Vision Tasks,,"APPLIED SCIENCES-BASEL, 202304",,
조사 전,Publications,Secure audio forensic marking algorithm using 2d barcode in DWT-DFRNT domain,,"International Journal of Distributed Sensor Networks, 201401",,
조사 전,Publications,Securing e-government services,,"COMPUTER, 200611",,
조사 전,Publications,Texture image retrieval using DTCWT-SVD and local binary pattern features,,"Journal of Information Processing Systems, 201712",,
조사 전,Publications,The Contourlet Domain Comic Zero Watermarking Algorithm based on Discrete Cosine Transform and Singular Value Decomposition,,"International Journal of Multimedia and Ubiquitous Engineering, 201410",,
조사 전,Publications,Tracking feature extraction techniques with improved SIFT for video identification,,"Multimedia Tools and Applications, 201505",,
조사 전,Publications,Video Searching and Fingerprint Detection by Using the Image Query and PlaceNet-Based Shot Boundary Detection Method,,"APPLIED SCIENCES-BASEL, 201810",,
조사 전,Publications,Video fragment format classification using optimized discriminative subspace clustering,,"SIGNAL PROCESSING-IMAGE COMMUNICATION, 201601",,
조사 전,Publications,Video identification based on common features in a scene segmented by CNN,,"한국과학예술포럼, 201712",,
조사 전,Publications,Watermarking two dimensional data object identifier for authenticated distribution of digital multimedia contents,,"SIGNAL PROCESSING-IMAGE COMMUNICATION, 201009",,
조사 전,Publications,Zero watermarking scheme for citygml,,"Journal of Theoretical and Applied Information Technology, 201811",,
조사 전,Publications,영상 인식을 위한 딥러닝 모델의 적대적 공격에 대한 백색 잡음 효과에 관한 연구,,"한국정보전자통신기술학회 논문지, 202202",,
조사 전,Publications,신분증 위변조 방지를 위한 이미지 워터마킹,,"한국콘텐츠학회 논문지, 201112",,
조사 전,Publications,인공지능과 인간의 미술작품 이해에 대한 사전연구,,"아시아태평양융합연구교류논문지, 202309",,
조사 전,Publications,하이퍼레저 패브릭을 이용한 화물차 디지털 운행기록 단말기의 안전운행 보상시스템 구현,,"인터넷정보학회논문지, 202206",,
조사 완료,저역서,지능정보사회와 AI 윤리= Intelligent information society and AI ethics,"한국정보통신보안윤리학회(강장묵, 권정인, 김명주, 김영미, 김응희, 김종원, 박정호, 서희석, 안성진, 유진호, 이명숙, 이현, 정진욱, 황창근)","도서출판 배움터, 2021 Feb.",https://doi.org/10.978.8989383/956,"February 26, 2021"
